Open,High,Low,Close,Inflation,country,data_coverage_previous_12_months_food,total_food_price_increase_since_start_date,maximum_food_drawdown,average_monthly_food_price_correlation_between_markets,average_annual_food_price_correlation_between_markets,month,inflation_velocity,rolling_avg_3m,lag_1,lag_2,lag_3,FCAI,crisis_next_3m,inflation_sq,price_spread,close_open_ratio,inflation_volatility,lag_diff,price_vs_rolling,fcai_inflation,month_sin,month_cos,inflation_vel_sq,vulnerability_cluster
0.74,0.75,0.73,0.75,41.18,0,74.93,167.97,-40.67,0.62,0.87,1,,41.18,,,,28.826,1,1695.7924,0.020000000000000018,1.0135135135135136,326.5574,,-40.43,1187.05468,0.49999999999999994,0.8660254037844387,,0
0.78,0.79,0.77,0.77,44.45,0,74.93,167.97,-40.67,0.62,0.87,2,3.270000000000003,42.815,41.18,,,31.769000000000005,1,1975.8025000000002,0.020000000000000018,0.9871794871794871,352.4885,,-42.044999999999995,1412.1320500000004,0.8660254037844386,0.5000000000000001,10.692900000000021,0
0.79,0.82,0.78,0.82,53.62,0,74.93,167.97,-40.67,0.62,0.87,3,9.169999999999996,46.41666666666666,44.45,41.18,,38.84433333333333,1,2875.1043999999997,0.039999999999999925,1.0379746835443038,425.2066,3.270000000000003,-45.59666666666666,2082.833153333333,1.0,6.123233995736766e-17,84.08889999999994,0
0.85,0.92,0.84,0.92,66.52,0,74.93,167.97,-40.67,0.62,0.87,4,12.9,54.86333333333332,53.62,44.45,41.18,48.10266666666666,1,4424.9104,0.08000000000000007,1.0823529411764707,527.5036,9.169999999999995,-53.94333333333332,3199.789386666666,0.8660254037844387,-0.4999999999999998,166.41,0
0.96,1.02,0.94,1.02,77.51,0,74.93,167.97,-40.67,0.62,0.87,5,10.990000000000007,65.88333333333334,66.52,53.62,44.45,55.22866666666668,1,6007.8001,0.08000000000000007,1.0625,614.6543,12.899999999999999,-64.86333333333334,4280.773953333335,0.49999999999999994,-0.8660254037844387,120.78010000000016,0
1.06,1.11,1.04,1.11,89.19,0,74.93,167.97,-40.67,0.62,0.87,6,11.679999999999993,77.74,77.51,66.52,53.62,63.647,1,7954.8561,0.07000000000000006,1.0471698113207548,707.2767,10.990000000000009,-76.63,5676.675929999999,1.2246467991473532e-16,-1.0,136.42239999999984,0
1.16,1.18,1.14,1.16,96.05,0,74.93,167.97,-40.67,0.62,0.87,7,6.859999999999999,87.58333333333333,89.19,77.51,66.52,67.59966666666666,1,9225.602499999999,0.040000000000000036,1.0,761.6764999999999,11.679999999999993,-86.42333333333333,6492.947983333333,-0.4999999999999997,-0.8660254037844388,47.05959999999999,0
1.2,1.22,1.17,1.17,96.79,0,74.93,167.97,-40.67,0.62,0.87,8,0.7400000000000091,94.01,96.05,89.19,77.51,67.41900000000001,1,9368.304100000001,0.050000000000000044,0.975,767.5447,6.859999999999999,-92.84,6525.485010000001,-0.8660254037844384,-0.5000000000000004,0.5476000000000134,0
1.18,1.2,1.16,1.17,89.86,0,74.93,167.97,-40.67,0.62,0.87,9,-6.930000000000007,94.23333333333332,96.79,96.05,89.19,61.69766666666666,1,8074.8196,0.040000000000000036,0.9915254237288136,712.5898,0.7400000000000091,-93.06333333333332,5544.152326666666,-1.0,-1.8369701987210297e-16,48.024900000000095,0
1.17,1.19,1.13,1.13,78.44,0,74.93,167.97,-40.67,0.62,0.87,10,-11.420000000000002,88.36333333333333,89.86,96.79,96.05,53.46666666666667,1,6152.8336,0.06000000000000005,0.9658119658119658,622.0292,-6.930000000000007,-87.23333333333333,4193.925333333334,-0.8660254037844386,0.5000000000000001,130.41640000000004,0
1.11,1.13,1.09,1.1,65.78,0,74.93,167.97,-40.67,0.62,0.87,11,-12.659999999999997,78.02666666666666,78.44,89.86,96.79,44.69733333333333,0,4327.0084,0.039999999999999813,0.990990990990991,521.6354,-11.420000000000002,-76.92666666666666,2940.1905866666666,-0.5000000000000004,0.8660254037844384,160.2755999999999,0
1.07,1.09,1.05,1.05,48.25,0,74.93,167.97,-40.67,0.62,0.87,12,-17.53,64.15666666666665,65.78,78.44,89.86,31.697333333333333,0,2328.0625,0.040000000000000036,0.9813084112149533,382.6225,-12.659999999999997,-63.106666666666655,1529.3963333333334,-2.4492935982947064e-16,1.0,307.3009,0
1.02,1.04,1.0,1.02,35.91,0,74.93,167.97,-40.67,0.62,0.87,1,-12.340000000000003,49.98,48.25,65.78,78.44,24.248999999999995,0,1289.5280999999998,0.040000000000000036,1.0,284.76629999999994,-17.53,-48.959999999999994,870.7815899999997,0.49999999999999994,0.8660254037844387,152.27560000000008,0
1.0,1.01,0.94,0.94,21.81,0,74.93,167.97,-40.67,0.62,0.87,2,-14.099999999999998,35.32333333333333,35.91,48.25,65.78,13.739666666666666,0,475.67609999999996,0.07000000000000006,0.94,172.95329999999998,-12.340000000000003,-34.38333333333333,299.66213,0.8660254037844386,0.5000000000000001,198.80999999999995,0
0.91,0.92,0.87,0.87,5.66,0,74.93,167.97,-40.67,0.62,0.87,3,-16.15,21.126666666666665,21.81,35.91,48.25,2.2103333333333337,0,32.0356,0.050000000000000044,0.956043956043956,44.8838,-14.099999999999998,-20.256666666666664,12.510486666666669,1.0,6.123233995736766e-17,260.82249999999993,0
